aniomes,usd_varianza,daily_mean
201201,-6.709999999999999,13.41931590909091
201202,-1.4999999999999996,12.789328571428571
201203,-0.27000000000000035,12.734559090909094
201204,1.6699999999999995,13.047954761904762
201205,9.989999999999998,13.63012608695652
201206,-7.229999999999999,13.916588095238094
201207,-0.1699999999999998,13.355413636363634
201208,-0.9799999999999998,13.18833043478261
201209,-2.5100000000000002,12.938934999999997
201210,1.8599999999999999,12.895415217391303
201211,-1.13,13.075586363636363
201212,-0.6200000000000002,12.867361904761905
201301,-1.2000000000000002,12.700484782608696
201302,0.5699999999999998,12.710429999999999
201303,-3.6500000000000004,12.503659523809526
201304,-1.4500000000000002,12.212063636363638
201305,5.460000000000001,12.295958695652178
201306,1.1600000000000004,12.955530000000001
201307,-1.5999999999999999,12.752169565217388
201308,5.069999999999999,12.913138636363634
201309,-2.1199999999999997,13.057754761904759
201310,-0.52,13.002397826086957
201311,0.6700000000000002,13.067966666666667
201312,-0.45999999999999985,13.001
201401,2.4499999999999997,13.205297826086957
201402,-0.8100000000000003,13.292235
201403,-1.4100000000000001,13.203869047619047
201404,0.19000000000000006,13.0616
201405,-1.69,12.933377272727274
201406,0.8499999999999999,12.98867142857143
201407,1.9300000000000006,12.985434782608696
201408,-0.9800000000000001,13.146509523809524
201409,2.5800000000000005,13.229781818181818
201410,0.37999999999999995,13.48202391304348
201411,3.380000000000001,13.619409999999997
201412,5.6899999999999995,14.532747826086954
201501,1.6600000000000004,14.695825000000001
201502,-0.16999999999999993,14.91805
201503,2.15,15.228199999999998
201504,0.6300000000000003,15.211404545454544
201505,0.22999999999999998,15.272740476190474
201506,2.37,15.472845454545451
201507,2.3699999999999997,15.938906521739128
201508,3.9599999999999995,16.55105
201509,1.08,16.83935
201510,-2.4800000000000004,16.586802272727276
201511,0.46999999999999986,16.626966666666668
201512,3.64,17.059902173913045
201601,5.38,18.035288095238098
201602,0.26000000000000023,18.462742857142853
201603,-4.75,17.6321
201604,-0.5400000000000007,17.47991666666667
201605,7.34,18.146177272727275
201606,-0.8200000000000001,18.64075
201607,2.619999999999999,18.58321904761905
201608,0.2300000000000002,18.496236956521738
201609,3.2600000000000002,19.187897727272727
201610,-2.67,18.894073809523814
201611,9.18,20.043615909090907
201612,0.7699999999999998,20.52101590909091
