"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"06.09.2016","18,2730","18,5690","18,6142","18,2570","-1,57%"
"05.09.2016","18,5650","18,5645","18,5850","18,4555","-0,08%"
"02.09.2016","18,5800","18,7550","18,8270","18,5490","-0,91%"
"01.09.2016","18,7500","18,7850","18,9350","18,7425","-0,19%"
"31.08.2016","18,7851","18,8087","18,9002","18,7550","-0,10%"
"30.08.2016","18,8046","18,6302","18,8632","18,5767","0,96%"
"29.08.2016","18,6250","18,5682","18,6590","18,5300","0,13%"
"26.08.2016","18,6015","18,3615","18,6045","18,1578","1,29%"
"25.08.2016","18,3650","18,4642","18,4942","18,3580","-0,50%"
"24.08.2016","18,4570","18,5627","18,6327","18,4320","-0,60%"
"23.08.2016","18,5689","18,2904","18,5738","18,2004","1,52%"
"22.08.2016","18,2900","18,2450","18,3780","18,2145","0,39%"
"19.08.2016","18,2184","18,1880","18,4102","18,1690","0,17%"
"18.08.2016","18,1880","18,1360","18,2002","17,9942","0,29%"
"17.08.2016","18,1355","18,0699","18,3345","18,0362","0,41%"
"16.08.2016","18,0610","18,0750","18,1072","17,8977","-0,09%"
"15.08.2016","18,0775","18,2397","18,2612","17,9923","-1,01%"
"12.08.2016","18,2612","18,2342","18,3232","18,1274","0,18%"
"11.08.2016","18,2290","18,4194","18,4749","18,1544","-1,02%"
"10.08.2016","18,4174","18,4310","18,4522","18,2772","-0,10%"
"09.08.2016","18,4365","18,5577","18,6017","18,3687","-0,64%"
"08.08.2016","18,5550","18,7640","18,7750","18,5180","-1,08%"
"05.08.2016","18,7572","18,9087","18,9430","18,7255","-0,80%"
"04.08.2016","18,9088","18,8855","18,9370","18,8002","0,14%"
"03.08.2016","18,8820","18,9425","19,0105","18,8787","-0,29%"
"02.08.2016","18,9370","18,8660","18,9857","18,7945","0,37%"
"01.08.2016","18,8669","18,7499","18,8981","18,6508","0,61%"
"29.07.2016","18,7525","18,8935","18,9820","18,7160","-0,74%"
"28.07.2016","18,8925","18,8205","18,9425","18,7536","0,35%"
"27.07.2016","18,8265","18,7790","18,9305","18,7407","0,27%"
"26.07.2016","18,7755","18,7760","18,8575","18,7180","-0,01%"
"25.07.2016","18,7782","18,5398","18,7952","18,5147","1,24%"
"22.07.2016","18,5475","18,5680","18,6450","18,4960","-0,13%"
"21.07.2016","18,5711","18,6795","18,6952","18,5305","-0,56%"
"20.07.2016","18,6758","18,5018","18,6899","18,4520","0,95%"
"19.07.2016","18,5000","18,3798","18,6378","18,3485","0,65%"
"18.07.2016","18,3800","18,5635","18,5760","18,3521","-1,29%"
"15.07.2016","18,6197","18,3550","18,6260","18,3137","1,44%"
"14.07.2016","18,3550","18,3690","18,3900","18,2040","-0,08%"
"13.07.2016","18,3690","18,3380","18,4420","18,2452","0,15%"
"12.07.2016","18,3410","18,4670","18,4920","18,2675","-0,68%"
"11.07.2016","18,4670","18,5017","18,6138","18,3538","-0,20%"
"08.07.2016","18,5038","18,8285","18,9121","18,4525","-1,74%"
"07.07.2016","18,8310","18,7377","18,9420","18,5957","0,52%"
"06.07.2016","18,7330","18,8245","18,9505","18,7142","-0,45%"
"05.07.2016","18,8185","18,4245","18,8430","18,4120","2,17%"
"04.07.2016","18,4190","18,3588","18,4430","18,3126","0,35%"
"01.07.2016","18,3553","18,2772","18,4383","18,1120","0,41%"
"30.06.2016","18,2800","18,4958","18,6722","18,1767","-1,11%"
"29.06.2016","18,4860","18,8310","18,8560","18,4700","-1,82%"
"28.06.2016","18,8279","19,1779","19,2023","18,7619","-1,84%"
"27.06.2016","19,1815","18,9355","19,2605","18,8163","1,32%"
"24.06.2016","18,9310","18,2329","19,5281","18,1162","3,87%"
"23.06.2016","18,2250","18,4935","18,4960","18,2027","-1,46%"
"22.06.2016","18,4950","18,6300","18,7275","18,4728","-0,69%"
"21.06.2016","18,6230","18,6650","18,6970","18,5305","-0,18%"
"20.06.2016","18,6575","18,8373","18,8373","18,6030","-0,98%"
"17.06.2016","18,8425","18,9390","18,9535","18,7757","-0,53%"
"16.06.2016","18,9435","18,9075","19,0985","18,8617","0,17%"
"15.06.2016","18,9122","18,9272","18,9570","18,7520","-0,10%"
"14.06.2016","18,9309","18,8384","19,0309","18,8293","0,48%"
"13.06.2016","18,8405","18,6320","18,8575","18,6075","1,13%"
"10.06.2016","18,6300","18,2465","18,7515","18,2385","2,10%"
"09.06.2016","18,2470","18,1180","18,3112","18,0870","0,70%"
"08.06.2016","18,1199","18,3583","18,4037","18,0685","-1,30%"
"07.06.2016","18,3587","18,6620","18,7077","18,3470","-1,65%"
"06.06.2016","18,6675","18,6046","18,6775","18,5312","0,40%"
"03.06.2016","18,5925","18,6840","18,7352","18,4972","-0,44%"
"02.06.2016","18,6740","18,5257","18,6817","18,4780","0,81%"
"01.06.2016","18,5238","18,4610","18,6215","18,4370","0,30%"
"31.05.2016","18,4684","18,4765","18,4950","18,3763","-0,09%"
"30.05.2016","18,4843","18,4575","18,5123","18,4500","0,15%"
"27.05.2016","18,4562","18,4645","18,5406","18,3797","0,01%"
"26.05.2016","18,4550","18,4912","18,5135","18,3528","-0,16%"
"25.05.2016","18,4840","18,4855","18,5080","18,3183","0,02%"
"24.05.2016","18,4803","18,5242","18,5892","18,4127","-0,20%"
"23.05.2016","18,5180","18,3445","18,5291","18,3055","0,96%"
"20.05.2016","18,3420","18,4220","18,4600","18,3245","-0,44%"
"19.05.2016","18,4235","18,4400","18,6085","18,4170","-0,08%"
"18.05.2016","18,4386","18,2681","18,4894","18,2681","0,92%"
"17.05.2016","18,2700","18,3000","18,3857","18,2025","-0,19%"
"16.05.2016","18,3055","18,1905","18,3335","18,0908","0,76%"
"13.05.2016","18,1668","17,9795","18,2200","17,9457","1,07%"
"12.05.2016","17,9740","17,9895","18,0505","17,8647","-0,11%"
"11.05.2016","17,9946","17,9815","18,1480","17,8780","0,02%"
"10.05.2016","17,9905","18,2049","18,2200","17,9558","-1,16%"
"09.05.2016","18,2020","17,8686","18,2165","17,8347","1,79%"
"06.05.2016","17,8813","17,8940","18,1670","17,8150","-0,07%"
"05.05.2016","17,8942","17,7917","17,9142","17,6310","0,53%"
"04.05.2016","17,7995","17,6372","17,8398","17,5972","1,10%"
"03.05.2016","17,6065","17,2049","17,6217","17,1650","2,36%"
"02.05.2016","17,2014","17,1789","17,2662","17,1059","0,15%"
"29.04.2016","17,1750","17,2722","17,2724","17,0457","-0,56%"
